,Pattern1,Pattern2,Pattern3
IM00,0.31317541003227234,0.9060174822807312,0.181771382689476
IM02,0.2821461856365204,0.9596453309059143,0.18517212569713593
IM04,0.2702956795692444,0.9927161931991577,0.18000294268131256
IM06,0.272456556558609,0.9381454586982727,0.20436428487300873
IM09,0.27949535846710205,0.9764347076416016,0.176869735121727
IM12,0.2413666695356369,0.11398505419492722,1.0
IM18,0.28431686758995056,0.9586451649665833,0.18835203349590302
IM24,0.26190096139907837,0.988676130771637,0.18636742234230042
IM48,1.0,0.2961719334125519,0.12501254677772522
